"title";"date";"href"
"47";"« L’idée d’un revenu de base n’est pas portée par les principaux candidats à la présidentielle »";"2017-01-03";"http://abonnes.lemonde.fr/politique/article/2016/10/19/l-idee-d-un-revenu-de-base-n-est-pas-pour-l-instant-portee-par-les-principaux-candidats-a-la-presidentielle_5016528_823448.html?xtmc=presidentielle&xtcr=47"
"48";"Sondages : « Le Parisien » va « faire une pause » pendant la campagne présidentielle";"2017-01-04";"http://abonnes.lemonde.fr/actualite-medias/article/2017/01/03/sondages-le-parisien-va-faire-une-pause_5056977_3236.html?xtmc=presidentielle&xtcr=48"
"49";"Qu’est-ce que la grâce présidentielle ?";"2017-01-04";"http://abonnes.lemonde.fr/les-decodeurs/article/2016/12/29/qu-est-ce-que-la-grace-presidentielle_5055426_4355770.html?xtmc=presidentielle&xtcr=49"
"50";"Election présidentielle : les propositions des candidats pour « gagner plus »";"2017-01-04";"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/03/election-presidentielle-les-propositions-des-candidats-pour-gagner-plus_5057147_4355770.html?xtmc=presidentielle&xtcr=50"
"51";"Présidentielle 2017 : Charlotte Marchandise, candidate de la société civile";"2017-01-04";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/04/presidentielle-2017-charlotte-marchandise-candidate-de-la-societe-civile_5057502_4854003.html?xtmc=presidentielle&xtcr=51"
"52";"Présidentielle : « Bayrou menace Fillon pour mieux défendre ses intérêts »";"2017-01-06";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/06/presidentielle-bayrou-menace-fillon-pour-mieux-defendre-ses-interets_5058901_4854003.html?xtmc=presidentielle&xtcr=52"
"53";"Les inscriptions sur les listes électorales connaissent leur pic habituel avant une présidentielle";"2017-01-06";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2016/12/30/les-inscriptions-sur-les-listes-electorales-connaissent-leur-pic-habituel-avant-une-presidentielle_5055477_4854003.html?xtmc=presidentielle&xtcr=53"
"54";"StreetPress lance StreetVox, un média-réseau pour la présidentielle";"2017-01-09";"http://abonnes.lemonde.fr/actualite-medias/article/2017/01/09/streetpress-lance-streetvox-un-media-reseau-pour-la-presidentielle_5059775_3236.html?xtmc=presidentielle&xtcr=54"
"55";"Présidentielle 2017 : « Et si le PS cessait de se mentir ? »";"2017-01-11";"http://abonnes.lemonde.fr/idees/article/2017/01/11/presidentielle-2017-et-si-le-ps-cessait-de-se-mentir_5060660_3232.html?xtmc=presidentielle&xtcr=55"
"56";"Comment Fillon le « chrétien » a mis la question de la religion dans le débat de la présidentielle";"2017-01-11";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/11/comment-fillon-le-chretien-a-mis-la-question-de-la-religion-dans-le-debat-de-la-presidentielle_5061055_4854003.html?xtmc=presidentielle&xtcr=56"
"57";"Présidentielle 2017 : à gauche, la bataille du vote utile";"2017-01-12";"http://abonnes.lemonde.fr/idees/article/2017/01/12/presidentielle-2017-a-gauche-la-bataille-du-vote-utile_5061546_3232.html?xtmc=presidentielle&xtcr=57"
"58";"« C’est moi qui suis candidat à la présidentielle », dit François Fillon aux sarkozystes";"2017-01-13";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/13/c-est-moi-qui-suis-candidat-a-la-presidentielle-dit-francois-fillon-aux-sarkozystes_5062058_4854003.html?xtmc=presidentielle&xtcr=58"
"59";"Présidentielle : les candidats obligés de se positionner sur la « Sécu »";"2017-01-14";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/14/presidentielle-les-candidats-obliges-de-se-positionner-sur-la-secu_5062588_4854003.html?xtmc=presidentielle&xtcr=59"
"60";"La lutte contre la pauvreté s’invite dans la campagne présidentielle";"2017-01-14";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/14/la-lutte-contre-la-pauvrete-s-invite-dans-la-campagne-presidentielle_5062726_4854003.html?xtmc=presidentielle&xtcr=60"
"61";"Le Sénat américain enquête sur le rôle de la Russie dans la présidentielle";"2017-01-14";"http://abonnes.lemonde.fr/elections-americaines/article/2017/01/14/le-senat-americain-enquete-sur-le-role-de-la-russie-dans-l-election-presidentielle_5062852_829254.html?xtmc=presidentielle&xtcr=61"
"62";"Légaliser la PMA, l’appel de René Frydman aux candidats à la présidentielle";"2017-01-15";"http://abonnes.lemonde.fr/famille-vie-privee/article/2017/01/15/legaliser-la-pma-pour-toutes-les-femmes-l-appel-de-rene-frydman-aux-candidats-a-la-presidentielle_5062977_1654468.html?xtmc=presidentielle&xtcr=62"
"63";"Présidentielle : déterminé à aller « jusqu’au bout » de sa candidature, Guaino tape sur Fillon";"2017-01-16";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/16/presidentielle-determine-a-aller-jusqu-au-bout-de-sa-candidature-guaino-tape-sur-fillon_5063249_4854003.html?xtmc=presidentielle&xtcr=63"
"64";"Présidentielle : Philippe Martinez attaque des candidats qu’il juge déconnectés du monde du travail";"2017-01-16";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/16/presidentielle-philippe-martinez-attaque-des-candidats-qu-il-juge-deconnectes-du-monde-du-travail_5063476_4854003.html?xtmc=presidentielle&xtcr=64"
"65";"Présidentielle : un livre pour replacer la question sociale au cœur de la campagne";"2017-01-17";"http://abonnes.lemonde.fr/election-presidentielle-2017/article/2017/01/17/presidentielle-un-livre-pour-replacer-la-question-sociale-au-c-ur-de-la-campagne_5064168_4854003.html?xtmc=presidentielle&xtcr=65"
"66";"Qui défend vraiment le revenu universel, idée à la mode de la présidentielle 2017 ?";"2017-01-17";"http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/03/50-nuances-de-revenu-universel-l-idee-a-la-mode-de-la-presidentielle-2017_5057225_4355770.html?xtmc=presidentielle&xtcr=66"
